borehole_code,x_project_coordinate,y_project_coordinate,collar_elevation_masl
NE1-01,717190.06,1720999.33,
NE1-02,717213.76,1720937.67,
NE1-03,717094.05,1720882.06,
NE1-04,713446.7,1720943.4,
NE1-05,712184.8,1721741.8,
NE1-06,,,
NE1-07,711228.7,1722689,
NE1-08,716316.28,1708099.92,
NE1-09,716250.92,1708082.75,
NE1-10a,716348.7,1708049.1,
NE1-10b,716360.1,1708061.97,
NE1-11,717289.4,1720838.8,
NE1-12,717089.3,1719777.5,
NE1-13,716495.7,1719550.5,
NE1-14,717507.3,1719738.4,
NE1-15,717333.47,1720916.13,
